NAME,QUANTITY_TYPE,CATALOG_NAME,CATALOG_SYMBOL,RP66_SYMBOL,BASE_UNIT
siemens,admittance,POSC,S,S,The electric conductance of a conductor in which a current of 1 A is produced by an electric potential difference of 1 V.
siemens,susceptance,POSC,S,S,The electric conductance of a conductor in which a current of 1 A is produced by an electric potential difference of 1 V.
second,time,POSC,s,s,The second is the duration of 9 192 631 770 periods of the radiation corresponding to the transition between the two hyperfine levels of the ground state of the cesium-133 atom.
siemens/metre,conductivity,POSC,S/m,S/m,The second is the duration of 9 192 631 770 periods of the radiation corresponding to the transition between the two hyperfine levels of the ground state of the cesium-133 atom.
seconds/metre,time per length,POSC,s/m,s/m,The second is the duration of 9 192 631 770 periods of the radiation corresponding to the transition between the two hyperfine levels of the ground state of the cesium-133 atom.
seconds/metre,slowness,POSC,s/m,s/m,The second is the duration of 9 192 631 770 periods of the radiation corresponding to the transition between the two hyperfine levels of the ground state of the cesium-133 atom.
seconds/metre,interval transit time,POSC,s/m,s/m,The second is the duration of 9 192 631 770 periods of the radiation corresponding to the transition between the two hyperfine levels of the ground state of the cesium-133 atom.
seconds/cubic metre,time per volume,POSC,s/m3,s/m3,The second is the duration of 9 192 631 770 periods of the radiation corresponding to the transition between the two hyperfine levels of the ground state of the cesium-133 atom.
standard cubic metres at 0 deg Celsius,standard volume,POSC,scm(0C),s/m3,A unit of standard volume. The number of scm(0C) of a fluid is the volume the fluid will occupy (in cubic metres) when the fluid is reduced to standard conditions of 1 atm..0 degrees Celsius.
std cubic metres. 0 deg C/square metre,standard volume per area,POSC,scm(0C)/m2,s/m3,A unit of standard volume. The number of scm(0C) of a fluid is the volume the fluid will occupy (in cubic metres) when the fluid is reduced to standard conditions of 1 atm..0 degrees Celsius.
std cubic metres. 0 deg C/cubic metre,standard volume per volume,POSC,scm(0C)/m3,s/m3,A unit of standard volume. The number of scm(0C) of a fluid is the volume the fluid will occupy (in cubic metres) when the fluid is reduced to standard conditions of 1 atm..0 degrees Celsius.
standard cubic metres at 15 deg Celsius,standard volume,POSC,scm(15C),s/m3,A unit of standard volume. The number of scm(15C) of a fluid is the volume the fluid will occupy (in cubic metres) when the fluid is reduced to standard conditions of 1 atm..15 degrees Celsius.
std cubic metres. 15 deg C/square metre,standard volume per area,POSC,scm(15C)/m2,s/m3,A unit of standard volume. The number of scm(15C) of a fluid is the volume the fluid will occupy (in cubic metres) when the fluid is reduced to standard conditions of 1 atm..15 degrees Celsius.
std cubic metres. 15 deg C/cubic metre,stadard volume per volume,POSC,scm(15C)/m3,s/m3,A unit of standard volume. The number of scm(15C) of a fluid is the volume the fluid will occupy (in cubic metres) when the fluid is reduced to standard conditions of 1 atm..15 degrees Celsius.
std cubic metres. 15 deg C/second,standard volume per time,POSC,scm(15C)/s,s/m3,A unit of standard volume. The number of scm(15C) of a fluid is the volume the fluid will occupy (in cubic metres) when the fluid is reduced to standard conditions of 1 atm..15 degrees Celsius.
steradian,solid angle,POSC,sr,sr,The steradian is the solid angle that. having its vertex in the center of a circle.cuts of an area of the surface of the sphere equal to that of a square with sides of length equal to the radius of the sphere.
sievert,dose equivalent,POSC,Sv,Sv,The dose equivalent when the absorbed dose of ionizing radiation multiplied by the dimensionless factors Q (quality facot) and N (product of any othe multiplying factors) stipulated by the Intl. Commission on Radiological Protection is 1. J/kg.
sievert per second,dose equivalent rate,POSC,Sv/s,Sv,The dose equivalent rate when the absorbed dose per second of ionizing radiation multiplied by the appropriate factors is equivalent to 1 Sievert per second.
tesla,magnetic induction,POSC,T,T,The magnetic flux density of 1 Wb/m2. Alternatively. it is defined as the magnetic flux density that produces on a 1-m length of wire carrying a current of 1A. oriented normal to the flux density. a force of 1 N.magnetic flux density being defined as an axial vector quantity such that the force exerted on an element of current is equal to the vector product of this element and the magnetic flux density.
tesla,magnetic flux density,POSC,T,T,The magnetic flux density of 1 Wb/m2. Alternatively. it is defined as the magnetic flux density that produces on a 1-m length of wire carrying a current of 1A. oriented normal to the flux density. a force of 1 N.magnetic flux density being defined as an axial vector quantity such that the force exerted on an element of current is equal to the vector product of this element and the magnetic flux density.
volt,electric potential,POSC,V,V,The difference of electric potential between two points of a conductor carrying a constant current of 1 A when the power dissipated between these points is equal to 1 W.
volts/Bel,potential difference per per power drop,POSC,V/B,V/B,The difference of electric potential between two points of a conductor carrying a constant current of 1 A when the power dissipated between these points is equal to 1 W.
volts/metre,electric field strength,POSC,V/m,V/m,The difference of electric potential between two points of a conductor carrying a constant current of 1 A when the power dissipated between these points is equal to 1 W.
watt,power,POSC,W,W,The power that represents a rate of energy transfer of 1 J/s.
watt,heat flow rate,POSC,W,W,The power that represents a rate of energy transfer of 1 J/s.
Watts per delta kelvin,thermal conductance,POSC,W/K,W/K,The power that represents a rate of energy transfer of 1 J/s.
watts/metre kelvin,energy length per time area temperature,POSC,W/m.K,W/m.K,The power that represents a rate of energy transfer of 1 J/s.
watts/metre kelvin,thermal conductivity,POSC,W/m.K,W/m.K,The power that represents a rate of energy transfer of 1 J/s.
watts/square metre,density of heat flow rate,POSC,W/m2,W/m2,The power that represents a rate of energy transfer of 1 J/s.
watts/square metre,poynting vector,POSC,W/m2,W/m2,The power that represents a rate of energy transfer of 1 J/s.
watts/square metre,radiant energy,POSC,W/m2,W/m2,The power that represents a rate of energy transfer of 1 J/s.
watts/square metre,fluence rate,POSC,W/m2,W/m2,The power that represents a rate of energy transfer of 1 J/s.
watts/square metre,radiant exitance,POSC,W/m2,W/m2,The power that represents a rate of energy transfer of 1 J/s.
watts/square metre,irradiance,POSC,W/m2,W/m2,The power that represents a rate of energy transfer of 1 J/s.
watts/square metre,sound intensity,POSC,W/m2,W/m2,The power that represents a rate of energy transfer of 1 J/s.
watts/square metre,energy fluence rate,POSC,W/m2,W/m2,The power that represents a rate of energy transfer of 1 J/s.
watts/square metre kelvin,heat transfer coefficient,POSC,W/m2.K,W/m2.K,The power that represents a rate of energy transfer of 1 J/s.
watts/square metre steradian,radiance,POSC,W/m2.sr,W/m2.sr,The power that represents a rate of energy transfer of 1 J/s.
watts/cubic metre,power per volume,POSC,W/m3,W/m3,The power that represents a rate of energy transfer of 1 J/s.
watts/cubic metre kelvin,volumetric heat transfer coefficient,POSC,W/m3.K,W/m3.K,The power that represents a rate of energy transfer of 1 J/s.
watts/steradian,radiant intensity,POSC,W/sr,W/sr,The power that represents a rate of energy transfer of 1 J/s.
weber,magnetic flux,POSC,Wb,Wb,The magnetic flux which. linking a circuit of one turn.produces in it an alectromotive orce of 1 V as it is reduced to zero at a uniform rate in 1 s.
weber metres,magnetic dipole moment,POSC,Wb.m,Wb.m,The magnetic flux which. linking a circuit of one turn.produces in it an alectromotive orce of 1 V as it is reduced to zero at a uniform rate in 1 s.
webers/metre,magnetic vector potential,POSC,Wb/m,Wb/m,The magnetic flux which. linking a circuit of one turn.produces in it an alectromotive orce of 1 V as it is reduced to zero at a uniform rate in 1 s.
